(32, 14, 21589)
(32, 14, 29919)
(32, 14, 32708)
(32, 14, 39848)
(32, 14, 44981)
(32, 14, 55084)
(32, 14, 55703)
(32, 14, 56398)
(32, 14, 64080)
(32, 14, 65286)
(32, 14, 65986)
(32, 14, 66806)
(32, 14, 73930)
(32, 14, 75465)
(32, 14, 76149)
(32, 14, 77030)
(32, 14, 84054)
(32, 14, 85003)
(32, 14, 85699)
(32, 14, 86496)
(32, 14, 93084)
(32, 14, 93982)
(32, 14, 94714)
(32, 14, 95642)
(32, 14, 102264)
(32, 14, 103255)
(32, 14, 103983)
(32, 14, 104978)
(32, 14, 113841)
(32, 14, 116011)
(32, 14, 116758)
(32, 14, 117487)
(32, 14, 130090)
(32, 14, 132965)
(32, 14, 133561)
(32, 14, 134264)
(32, 14, 145559)
(32, 14, 161181)
(32, 14, 161891)
(32, 14, 162712)
(32, 14, 175156)
(32, 14, 199369)
(32, 14, 205601)
(32, 14, 214129)
(32, 14, 227046)
(32, 14, 247335)
(32, 14, 253774)
(32, 14, 265166)
(32, 14, 275926)
(32, 14, 282230)
(32, 14, 295459)
(32, 14, 306633)
(32, 14, 311481)
(32, 14, 315346)
(32, 14, 320783)
(32, 14, 324865)
(32, 14, 332952)
(32, 14, 338362)
(32, 14, 349244)
(32, 14, 363068)
(32, 14, 371003)
(32, 14, 373404)
(32, 14, 374316)
(32, 14, 375039)
(32, 14, 375759)
(32, 14, 376504)
(32, 14, 377161)
(32, 14, 377791)
(32, 14, 378491)
(32, 14, 379229)
(32, 14, 379889)
(32, 14, 380636)
(32, 14, 381374)
(32, 14, 382043)
(32, 14, 382645)
(32, 14, 383230)
(32, 14, 383931)
(32, 14, 384643)
(32, 14, 385391)
(32, 14, 386161)
(32, 14, 386928)
(32, 14, 387683)
(32, 14, 388406)
(32, 14, 389081)
(32, 14, 389744)
(32, 14, 390439)
(32, 14, 391144)
(32, 14, 391873)
(32, 14, 392587)
(32, 14, 393311)
(32, 14, 394080)
(32, 14, 394807)
(32, 14, 395475)
(32, 14, 396130)
(32, 14, 396739)
(32, 14, 397400)
(32, 14, 398111)
(32, 14, 398850)
(32, 14, 399538)
(32, 14, 400254)
(32, 14, 400928)
(32, 14, 401585)
(32, 14, 402140)
(32, 14, 402820)
(32, 14, 403506)
(32, 14, 404279)
(32, 14, 405019)
(32, 14, 405755)
(32, 14, 406509)
(32, 14, 407255)
(32, 14, 407996)
(32, 14, 408750)
(32, 14, 409404)
(32, 14, 410059)
(32, 14, 410802)
(32, 14, 411534)
(32, 14, 412269)
(32, 14, 413004)
(32, 14, 413744)
(32, 14, 414492)
(32, 14, 415220)
(32, 14, 415909)
(32, 14, 416580)
(32, 14, 417264)
(32, 14, 417991)
(32, 14, 418732)
(32, 14, 419502)
(32, 14, 420273)
(32, 14, 421015)
(32, 14, 421746)
(32, 14, 422503)
(32, 14, 423162)
(32, 14, 423815)
(32, 14, 424559)
(32, 14, 425303)
(32, 14, 426053)
(32, 14, 426797)
(32, 14, 427554)
(32, 14, 428310)
(32, 14, 429056)
(32, 14, 429757)
(32, 14, 430422)
(32, 14, 431126)
(32, 14, 431878)
(32, 14, 432637)
(32, 14, 433382)
(32, 14, 434126)
(32, 14, 434863)
(32, 14, 435603)
(32, 14, 436350)
(32, 14, 437021)
(32, 14, 437688)
(32, 14, 438434)
(32, 14, 439168)
(32, 14, 439903)
(32, 14, 440680)
(32, 14, 441412)
(32, 14, 442168)
(32, 14, 442905)
(32, 14, 443605)
(32, 14, 444264)
(32, 14, 444966)
(32, 14, 445706)
(32, 14, 446448)
(32, 14, 447183)
(32, 14, 447926)
(32, 14, 448679)
(32, 14, 449430)
(32, 14, 450167)
(32, 14, 450821)
(32, 14, 451484)
(32, 14, 452234)
(32, 14, 452988)
(32, 14, 453735)
(32, 14, 454471)
(32, 14, 455204)
(32, 14, 455941)
(32, 14, 456711)
(32, 14, 457406)
(32, 14, 458067)
(32, 14, 458767)
(32, 14, 459515)
(32, 14, 460264)
(32, 14, 460993)
(32, 14, 461732)
(32, 14, 462470)
(32, 14, 463206)
(32, 14, 463955)
(32, 14, 464639)
(32, 14, 465292)
(32, 14, 466027)
(32, 14, 466761)
(32, 14, 467496)
(32, 14, 468245)
(32, 14, 468990)
(32, 14, 469727)
(32, 14, 470469)
(32, 14, 471172)
(32, 14, 471825)
(32, 14, 472507)
(32, 14, 473241)
(32, 14, 473993)
(32, 14, 474751)
(32, 14, 475500)
(32, 14, 476239)
(32, 14, 476976)
(32, 14, 477728)
(32, 14, 478394)
(32, 14, 479044)
(32, 14, 479756)
(32, 14, 480491)
(32, 14, 481246)
(32, 14, 481979)
(32, 14, 482715)
(32, 14, 483465)
(32, 14, 484224)
(32, 14, 484943)
(32, 14, 485594)
(32, 14, 486260)
(32, 14, 486994)
(32, 14, 487766)
(32, 14, 488577)
(32, 14, 489344)
(32, 14, 490117)
(32, 14, 490892)
(32, 14, 491634)
(32, 14, 492341)
(32, 14, 493013)
(32, 14, 493767)
(32, 14, 494522)
(32, 14, 495282)
(32, 14, 496049)
(32, 14, 496767)
(32, 14, 497428)
(32, 14, 498085)
(32, 14, 498742)
(32, 14, 499465)
(32, 14, 500220)
(32, 14, 500967)
(32, 14, 501713)
(32, 14, 502387)
(32, 14, 503046)
(32, 14, 503634)
(32, 14, 504171)
(32, 14, 504706)
(32, 14, 505241)
(32, 14, 505783)
(32, 14, 506340)
(32, 14, 506866)
(32, 14, 507403)
